,0
163,1422.7745361328125
164,1569.978759765625
165,1326.5054931640625
166,1315.277587890625
167,1363.247314453125
168,1342.158935546875
169,1387.9295654296875
170,1258.9134521484375
171,1354.9239501953125
172,1312.1988525390625
173,1322.3255615234375
174,1422.929443359375
175,1277.88037109375
176,1315.601806640625
177,1327.7662353515625
178,1261.562255859375
179,1381.378662109375
180,1335.396484375
181,1335.670166015625
182,1329.2333984375
183,1330.00244140625
184,1503.2158203125
185,1624.3740234375
186,1347.6781005859375
187,1368.876708984375
188,1389.6846923828125
189,1417.95361328125
190,1314.367919921875
191,1385.5059814453125
192,1341.0892333984375
193,1311.5802001953125
194,1495.350341796875
195,1455.2000732421875
196,1454.4600830078125
197,1315.0042724609375
198,1285.046875
199,1364.63916015625
200,1234.1090087890625
201,1249.16796875
202,1325.9949951171875
203,1356.416748046875
204,1252.8887939453125
205,1212.5135498046875
206,1281.56103515625
207,1153.5758056640625
208,1185.3502197265625
209,1273.5889892578125
210,1326.1334228515625
211,1219.14208984375
212,1275.378173828125
213,1230.6998291015625
214,1294.89501953125
215,1316.8177490234375
216,1372.845703125
217,1281.909912109375
218,1213.04296875
219,1261.9171142578125
220,1307.9718017578125
221,1399.3809814453125
222,1389.58642578125
223,1293.1905517578125
224,1259.71337890625
225,1261.280029296875
226,1206.059814453125
227,1178.3560791015625
228,1256.86572265625
229,1257.3702392578125
230,1211.23046875
231,1163.208740234375
232,1219.3104248046875
233,1207.4259033203125
234,1297.0516357421875
235,1255.162353515625
236,1171.982177734375
237,1288.65576171875
238,1188.6802978515625
239,1256.2252197265625
240,1435.4051513671875
241,1131.30712890625
242,1120.2926025390625
243,1089.9124755859375
244,1327.80908203125
245,1156.606689453125
246,1145.11279296875
247,1195.147705078125
248,1119.0809326171875
249,1167.6002197265625
250,1141.5731201171875
251,1366.7432861328125
252,1181.0283203125
253,1295.87841796875
254,1166.2353515625
255,1139.8741455078125
256,1190.4481201171875
257,1139.0313720703125
258,1245.186279296875
259,1131.1646728515625
260,1173.07421875
261,1176.497314453125
262,1083.523681640625
263,1133.769287109375
264,1204.2711181640625
265,1114.835205078125
266,1082.5992431640625
267,1154.5029296875
268,1063.82470703125
269,1200.579833984375
270,1045.0335693359375
271,1077.1539306640625
272,1092.9942626953125
273,1049.5078125
274,1088.0916748046875
275,1079.55615234375
276,1090.5714111328125
277,1094.2833251953125
278,1105.4681396484375
279,1094.63330078125
280,1089.5418701171875
281,1093.598388671875
282,1224.3052978515625
283,998.3380126953125
284,1169.912841796875
285,1087.0830078125
286,1097.32470703125
287,1062.16796875
288,1248.484130859375
289,994.9512329101562
290,1190.366943359375
291,1087.453125
292,1146.3880615234375
293,1045.49365234375
294,1072.072021484375
295,1155.577880859375
296,1040.8287353515625
297,1228.473388671875
298,1120.909912109375
299,948.1763305664062
300,1141.33203125
301,1124.1927490234375
302,1044.8927001953125
303,1040.11865234375
304,1042.099853515625
305,1049.9287109375
306,1019.5635986328125
307,1126.5770263671875
308,1028.1571044921875
309,1148.824462890625
310,1051.0115966796875
311,1025.8463134765625
312,1126.8660888671875
313,1044.1322021484375
314,987.9877319335938
315,1170.1082763671875
316,1033.134033203125
317,972.3980102539062
318,1042.2366943359375
319,985.1845092773438
320,1164.8033447265625
321,994.40234375
322,1028.48046875
323,987.0941162109375
324,1024.8021240234375
325,1002.1483154296875
326,967.4307861328125
327,906.5172729492188
328,918.127197265625
329,1096.6138916015625
330,961.7940673828125
331,944.4095458984375
332,996.37353515625
333,1062.868408203125
334,998.67333984375
335,963.8587646484375
336,823.5018310546875
337,914.924560546875
338,980.1624145507812
339,1082.45361328125
340,995.461181640625
341,972.1137084960938
342,946.1653442382812
343,970.1397705078125
344,987.6107788085938
345,913.3187866210938
346,1018.0692749023438
347,1140.778564453125
348,1037.1610107421875
349,932.5775146484375
350,966.0891723632812
351,900.868408203125
352,993.70654296875
353,963.425537109375
354,1012.9848022460938
355,891.6828002929688
356,944.2228393554688
357,954.4702758789062
358,944.9291381835938
359,879.7537231445312
360,969.7942504882812
361,948.5167846679688
362,844.1140747070312
363,904.5830078125
364,962.8986206054688
365,888.1190185546875
366,996.9764404296875
367,865.4330444335938
368,989.733154296875
369,1156.2413330078125
370,957.339599609375
371,974.2754516601562
372,866.8970947265625
373,881.2819213867188
374,840.0235595703125
375,936.3176879882812
376,961.2817993164062
377,982.8305053710938
378,901.0377807617188
379,928.97705078125
380,846.1934204101562
381,1067.6199951171875
382,994.6934204101562
383,881.530029296875
384,831.7713012695312
385,876.8147583007812
386,939.9745483398438
387,938.8203735351562
388,899.910888671875
389,921.5203857421875
390,853.7266235351562
391,849.605224609375
392,783.5039672851562
393,929.48486328125
394,795.8560791015625
395,900.4575805664062
396,936.82958984375
397,936.5913696289062
398,965.7203369140625
399,839.0361938476562
400,876.4265747070312
401,787.8255004882812
402,872.7061157226562
403,906.4974975585938
404,963.4414672851562
405,901.8687744140625
406,918.319580078125
407,884.2546997070312
408,801.823974609375
409,941.7731323242188
410,900.7543334960938
411,834.3653564453125
412,960.1748657226562
413,916.8551025390625
414,909.6215209960938
415,884.9794311523438
416,862.420166015625
417,795.369873046875
418,941.9854125976562
419,921.6544189453125
420,925.7857666015625
421,847.8748168945312
422,792.584716796875
423,824.0838012695312
424,897.660888671875
425,814.2686767578125
426,815.8521728515625
427,881.5744018554688
428,883.0380249023438
